Title,Company,Location,Job Type,Link
Software Engineer III - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556745366
Senior Software Engineer- CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556751754
Software Engineer - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556654059
Software Engineer II - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556751791
Software Engineer - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556628807
Senior Software Engineer - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556620163
Principal Corporate Counsel,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556658219
Site Reliability Engineer - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556761670
Senior Software Engineering Manager - CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556760130
Software Engineer II - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556638925
Software Engineer II - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556658268
Site Reliability Engineer II - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556624809
Software Engineering II - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556726360
Software Engineer II -CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556637088
Software Engineer II - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556657018
Principal PM Manager - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556746287
Senior Software Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556748127
Software Engineer II - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556748996
Cloud Network Engineer - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556753707
Security Assurance Program Manager CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556638491
Software Engineer - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556749120
Site Reliability Engineer - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556632049
Principal Product Manager - CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556746305
Service Engineer- CTJ- TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556726286
Principal Software Engineer - Azure Key Vault,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556769527
Senior Software Engineer- CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556803933
Software Engineer II - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556803739
Senior Security Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556628798
Software Engineer II,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556629331
Senior Product Manager - CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556752186
Senior Software Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556755091
Senior Software Engineer - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556643478
Site Reliability Engineer - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556630318
Software Engineer II - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556640834
Software Engineer II-CTJ- Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556640348
Senior Product Manager - CTJ - Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556769365
Critical Environment Technician - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556643068
Integration and Technical Infrastructure Manager - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556751849
Senior Data Center IT Support Technician,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556769357
Critical Environment Operations Manager,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556769334
Continuous Evaluation Program Manager,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556802498
Critical Environment Electrical Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556803406
Data Center Inventory & Asset Technician,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556769358
Data Center Inventory & Asset Technician,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556824207
Critical Environment Program Manager,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556754928
Environmental Compliance Program Manager,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556619247
Critical Environment Field Service Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556746084
Critical Environment Technician - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556643066
Data Center Technician - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556640781
Data Center Technician - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556624799
Senior Data Center Inventory and Asset Technician - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556627518
Software Engineer II - Windows Remote Desktop,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556751826
